ticker,cluster
A,25
AA,0
AAL,3
AAPL,23
ABBV,15
ABT,14
ACN,17
ADBE,20
ADI,22
ADM,2
ADP,11
ADSK,9
AEE,7
AEP,7
AES,1
AFL,11
AIG,4
AIV,5
AIZ,11
AKAM,20
ALL,11
ALLE,26
AMAT,26
AME,26
AMG,8
AMGN,15
AMP,8
AMT,0
AMZN,1
AN,16
AON,17
APA,6
APD,27
APH,9
APTV,28
ATI,27
AVB,5
AVY,21
AXP,17
AZO,16
BA,24
BAC,1
BALL,12
BAX,14
BBBY,18
BBY,18
BDX,14
BEN,1
BF-B,16
BFH,17
BIIB,15
BKNG,3
BLK,8
BMY,15
BRK-B,1
BSX,14
BWA,28
BXP,5
C,1
CAG,13
CAH,25
CAT,28
CB,11
CBRE,3
CCI,20
CCL,4
CF,21
CHRW,1
CI,11
CINF,1
CL,12
CLX,12
CMCSA,1
CME,5
CMG,1
CMI,28
CMS,7
CNP,7
CNX,0
COF,10
COP,6
COR,25
COST,18
CPB,13
CPRI,4
CRM,20
CSCO,4
CSX,2
CTAS,21
CTSH,17
CVS,11
CVX,6
D,7
DAL,3
DD,21
DE,28
DG,18
DGX,25
DHI,1
DHR,26
DIS,3
DLTR,18
DOC,4
DOV,26
DRI,13
DTE,7
DUK,7
DVA,5
DVN,6
EA,20
EBAY,17
ECL,21
ED,7
EFX,17
EIX,7
EL,19
ELV,11
EMN,21
EMR,26
EOG,6
EQIX,20
EQR,5
EQT,6
ES,7
ESS,5
ETN,27
ETR,7
EW,14
EXC,7
EXE,6
EXPD,17
EXPE,3
F,2
FAST,16
FCX,6
FDX,17
FE,7
FFIV,20
FIS,17
FISV,17
FITB,10
FLR,26
FLS,21
FMC,21
FOSL,19
FOXA,6
FSLR,26
GAP,19
GD,24
GE,1
GEN,20
GILD,15
GIS,13
GL,11
GLW,21
GM,28
GME,18
GNW,11
GOOG,20
GOOGL,20
GPC,16
GRMN,26
GS,10
GT,28
GWW,16
HAL,6
HAS,0
HBAN,10
HCA,1
HD,16
HIG,11
HOG,28
HON,27
HP,6
HPQ,20
HRB,17
HRL,13
HSIC,25
HST,5
HSY,13
HUM,11
IBM,20
ICE,2
IFF,12
INTC,23
INTU,17
IP,6
IR,21
IRM,20
ISRG,14
ITW,26
IVZ,8
J,26
JCI,26
JEF,10
JNJ,15
JPM,1
KDP,13
KEY,10
KIM,5
KLAC,0
KMB,12
KMI,6
KMX,16
KO,13
KR,18
KSS,18
L,11
LB,19
LEG,16
LEN,5
LH,25
LHX,0
LLY,15
LMT,24
LNC,4
LOW,16
LRCX,1
LUMN,20
LUV,3
LYB,6
M,18
MA,17
MAC,5
MAR,5
MAS,21
MAT,12
MCD,13
MCHP,22
MCK,25
MCO,1
MDLZ,13
MDT,14
MET,1
META,20
MHK,21
MKC,13
MLM,2
MMM,21
MNST,13
MO,13
MOS,21
MPC,6
MRK,15
MRSH,17
MS,10
MSFT,20
MSI,22
MTB,1
MU,22
MUR,6
NAVI,10
NDAQ,5
NEE,7
NEM,6
NFLX,3
NI,7
NKE,19
NOC,24
NOV,4
NRG,5
NSC,2
NTAP,4
NTRS,10
NUE,2
NVDA,23
NWL,12
NWS,1
OI,21
OKE,6
OMC,17
ORCL,1
ORLY,16
OXY,6
PAYX,1
PBI,17
PCAR,28
PCG,7
PEG,7
PEP,13
PFE,4
PFG,8
PG,12
PGR,11
PH,27
PHM,6
PLD,5
PM,13
PNC,9
PNR,9
PNW,7
POOL,16
PPG,21
PPL,7
PRGO,0
PRU,8
PSA,5
PSX,6
PVH,19
PWR,4
QCOM,22
R,17
RCL,3
REGN,15
RF,10
RHI,17
RIG,6
RL,4
ROK,27
ROP,26
ROST,18
RRC,4
RSG,2
RTX,24
SBUX,13
SCHW,4
SHW,21
SJM,13
SLB,6
SLG,5
SNA,27
SNDK,23
SO,0
SPG,5
SRE,7
STT,10
STX,23
STZ,13
SWK,26
SWKS,22
SYK,14
SYY,13
T,20
TAP,13
TDAY,3
TDC,20
TEL,26
TFC,1
TGT,18
THC,5
TJX,18
TMO,25
TPR,19
TRIP,3
TROW,8
TRV,11
TSCO,18
TSN,13
TXN,22
TXT,24
UAA,1
UHS,4
UNH,11
UNM,11
UNP,2
UPS,17
URBN,19
URI,16
USB,10
V,17
VAL,6
VFC,19
VLO,6
VMC,2
VNO,5
VRSN,20
VRTX,9
VTR,5
VZ,1
WAT,25
WDC,23
WEC,7
WELL,5
WFC,10
WM,2
WMB,6
WMT,18
WU,17
WY,6
WYNN,5
XEL,7
XOM,6
XRAY,14
XRX,20
XYL,21
YUM,13
ZBH,1
ZION,9
ZTS,15
