ticker,cluster
A,10
AAPL,9
ABBV,4
ABNB,5
ABT,16
ACGL,23
ACN,30
ADBE,37
ADI,34
ADM,22
ADP,30
ADSK,27
AEE,8
AEP,8
AES,8
AFL,23
AIG,23
AIZ,24
AJG,23
AKAM,36
ALB,28
ALGN,16
ALL,23
ALLE,38
AMAT,34
AMCR,28
AMD,14
AME,33
AMGN,4
AMP,1
AMT,2
AMZN,9
ANET,36
AON,24
AOS,38
APA,15
APD,11
APH,31
APO,1
APTV,31
ARE,6
ATO,15
AVB,6
AVGO,37
AVY,28
AWK,8
AXON,27
AXP,25
AZO,29
BA,32
BAC,0
BALL,28
BAX,16
BBY,20
BDX,16
BEN,1
BF-B,21
BG,22
BIIB,4
BKNG,5
BKR,35
BLDR,20
BLK,1
BMY,4
BR,24
BRK-B,23
BRO,23
BSX,16
BX,1
BXP,6
C,0
CAG,22
CAH,17
CARR,38
CAT,39
CB,23
CBOE,24
CBRE,6
CCI,2
CCL,5
CDNS,37
CDW,27
CEG,8
CF,11
CFG,0
CHD,18
CHRW,9
CHTR,12
CI,7
CINF,23
CL,18
CLX,18
CMCSA,12
CME,24
CMG,22
CMI,39
CMS,8
CNC,7
CNP,8
COF,0
COO,16
COP,15
COR,17
COST,20
CPAY,25
CPB,22
CPRT,29
CPT,6
CRL,10
CRM,30
CRWD,36
CSCO,36
CSGP,6
CSX,9
CTAS,28
CTSH,30
CTVA,28
CVS,7
CVX,15
CZR,2
D,8
DAL,9
DASH,9
DD,28
DE,39
DECK,19
DELL,37
DG,20
DGX,17
DHI,3
DHR,10
DIS,13
DLR,2
DLTR,20
DOC,6
DOV,33
DOW,28
DPZ,22
DRI,22
DTE,8
DUK,8
DVA,7
DVN,15
DXCM,16
EA,13
EBAY,5
ECL,33
ED,8
EFX,25
EG,23
EIX,14
EL,19
ELV,7
EMN,28
EMR,14
ENPH,31
EOG,15
EPAM,30
EQIX,14
EQR,6
EQT,15
ERIE,23
ES,8
ESS,6
ETN,35
ETR,8
EVRG,8
EW,16
EXC,8
EXE,15
EXPD,9
EXPE,5
EXR,6
F,39
FANG,14
FAST,29
FCX,26
FDS,24
FDX,9
FE,8
FFIV,36
FICO,24
FIS,25
FISV,25
FITB,0
FOX,13
FOXA,13
FRT,6
FSLR,31
FTNT,36
FTV,33
GD,32
GDDY,30
GE,14
GEHC,16
GEN,30
GEV,11
GILD,4
GIS,22
GL,23
GLW,31
GM,39
GNRC,38
GOOG,36
GOOGL,30
GPC,29
GPN,25
GRMN,31
GS,0
GWW,29
HAL,35
HAS,13
HBAN,0
HCA,7
HD,20
HIG,23
HII,32
HLT,5
HON,35
HPE,37
HPQ,37
HRL,22
HSIC,16
HST,6
HSY,22
HUBB,35
HUM,7
HWM,32
IBM,30
ICE,24
IDXX,10
IEX,33
IFF,22
INCY,4
INTC,14
INTU,30
INVH,3
IP,28
IQV,17
IR,33
IRM,25
ISRG,16
IT,24
ITW,33
IVZ,1
J,33
JBHT,9
JBL,31
JCI,38
JKHY,25
JNJ,4
JPM,0
KDP,21
KEY,0
KEYS,34
KHC,22
KIM,6
KKR,1
KLAC,34
KMB,18
KMI,15
KMX,29
KO,21
KR,20
KVUE,18
L,23
LDOS,32
LEN,3
LH,17
LHX,32
LII,38
LIN,11
LKQ,29
LLY,4
LMT,32
LNT,14
LOW,20
LRCX,34
LULU,19
LUV,9
LVS,2
LW,22
LYB,11
LYV,13
MA,25
MAA,6
MAR,5
MAS,28
MCD,22
MCHP,34
MCK,17
MCO,24
MDLZ,22
MDT,16
MET,1
META,30
MGM,2
MHK,28
MKC,22
MKTX,24
MLM,26
MMM,28
MNST,21
MO,18
MOH,7
MOS,26
MPC,15
MPWR,34
MRK,4
MRNA,4
MRSH,23
MS,0
MSCI,24
MSFT,36
MSI,27
MTB,0
MTCH,30
MTD,10
MU,37
NCLH,5
NDAQ,24
NDSN,33
NEE,8
NEM,26
NFLX,13
NI,8
NKE,19
NOC,32
NOW,30
NRG,8
NSC,14
NTAP,36
NTRS,0
NUE,26
NVDA,37
NVR,3
NWS,13
NWSA,13
NXPI,34
O,6
ODFL,9
OKE,15
OMC,24
ON,34
ORCL,30
ORLY,29
OTIS,38
OXY,15
PANW,36
PAYC,30
PAYX,30
PCAR,39
PCG,8
PEG,8
PEP,21
PFE,4
PFG,1
PG,18
PGR,23
PH,33
PHM,3
PKG,28
PLD,6
PLTR,30
PM,18
PNC,0
PNR,33
PNW,8
PODD,16
POOL,28
PPG,28
PPL,8
PRU,1
PSA,6
PSX,15
PTC,27
PWR,8
PYPL,25
QCOM,37
RCL,5
REG,6
REGN,4
RF,0
RJF,1
RL,19
RMD,16
ROK,35
ROL,29
ROP,33
ROST,20
RSG,26
RTX,32
RVTY,10
SBAC,2
SBUX,22
SCHW,1
SHW,28
SJM,22
SLB,35
SMCI,37
SNA,35
SNPS,37
SO,8
SOLV,16
SPG,6
SPGI,24
SRE,14
STE,16
STLD,26
STT,1
STX,37
STZ,21
SW,28
SWK,35
SWKS,34
SYF,25
SYK,16
SYY,22
T,12
TAP,21
TDG,32
TDY,31
TECH,10
TEL,31
TER,34
TFC,0
TGT,20
TJX,20
TKO,13
TMO,10
TMUS,12
TPL,15
TPR,19
TRGP,15
TRMB,27
TROW,1
TRV,23
TSCO,20
TSLA,31
TSN,22
TT,38
TTWO,13
TXN,34
TXT,32
TYL,27
UAL,9
UBER,9
UDR,6
UHS,7
ULTA,20
UNH,14
UNP,9
UPS,9
URI,29
USB,0
V,25
VICI,2
VLO,15
VLTO,33
VMC,26
VRSK,24
VRSN,30
VRTX,4
VST,8
VTR,6
VTRS,17
VZ,12
WAB,39
WAT,10
WBD,13
WDAY,30
WDC,37
WEC,8
WELL,6
WFC,0
WM,26
WMB,15
WMT,20
WRB,23
WSM,19
WST,16
WTW,24
WY,28
WYNN,2
XEL,8
XOM,15
XYL,33
YUM,22
ZBH,16
ZBRA,27
ZTS,4
