ticker,cluster
A,23
AA,31
AAPL,20
ABT,14
ADBE,20
ADI,20
ADM,27
ADP,5
ADSK,0
AEE,10
AEP,10
AES,10
AFL,8
AIG,8
AIV,2
AIZ,8
AKAM,21
ALL,8
AMAT,32
AMD,20
AMGN,13
AMP,8
AMT,1
AMZN,32
AN,3
ANF,1
AON,5
APA,17
APD,23
APH,24
ATI,31
AVB,2
AVY,28
AXP,25
AZO,3
BA,24
BAC,12
BALL,28
BAX,14
BBBY,4
BBWI,7
BBY,4
BDX,14
BEN,1
BF-B,30
BIIB,13
BKNG,25
BKR,15
BMY,13
BRK-B,1
BSX,14
BTU,16
BXP,2
C,11
CAG,30
CAH,9
CAT,19
CB,1
CBRE,2
CCL,25
CEG,18
CF,28
CHRW,1
CI,8
CINF,8
CL,26
CLF,16
CLX,26
CMCSA,1
CME,1
CMI,23
CMS,10
CNP,10
CNX,18
COF,12
COP,17
COR,9
COST,4
CPB,30
CRM,21
CSCO,20
CSX,25
CTAS,29
CTSH,25
CVS,9
CVSA,22
CVX,17
D,10
DE,19
DELL,32
DGX,9
DHI,2
DHR,0
DIS,22
DOC,2
DOV,23
DRI,0
DTE,10
DUK,10
DVA,9
DVN,18
EA,20
EBAY,25
ECL,29
ED,10
EFX,25
EIX,10
EL,7
ELV,9
EMN,27
EMR,23
EOG,18
EQR,1
EQT,18
ES,10
ETN,31
ETR,10
EXC,1
EXE,18
EXPD,25
EXPE,25
F,31
FAST,3
FBIN,27
FCX,16
FDX,25
FE,10
FHI,8
FHN,12
FIS,25
FISV,0
FITB,12
FLR,15
FLS,23
FMC,28
FSLR,15
FTI,15
GAP,7
GD,24
GE,23
GEN,21
GHC,22
GILD,13
GIS,26
GL,8
GLW,28
GME,4
GNW,8
GOOGL,32
GPC,3
GT,29
GWW,3
HAL,15
HAS,26
HBAN,12
HD,3
HIG,8
HOG,19
HON,24
HP,15
HPQ,32
HRB,5
HRL,30
HST,2
HSY,30
HUM,5
IBM,21
ICE,25
IFF,30
INTC,20
INTU,25
IP,27
IRM,21
ISRG,14
ITT,24
ITW,19
IVZ,8
J,1
JBL,24
JCI,24
JEF,2
JNJ,14
JPM,12
KDP,30
KEY,12
KIM,2
KLAC,0
KMB,26
KODK,29
KR,4
KSS,6
L,1
LEG,31
LEN,2
LH,9
LHX,1
LIN,31
LLY,13
LMT,24
LNC,8
LOW,3
LUMN,31
LUV,25
M,6
MA,25
MAR,2
MAS,19
MAT,26
MCD,30
MCHP,20
MCK,9
MCO,25
MDT,14
MET,8
MH,22
MKC,30
MMM,29
MO,30
MRK,13
MRSH,8
MS,11
MSFT,0
MSI,20
MTB,12
MU,20
MUR,18
NBR,15
NDAQ,25
NEM,16
NI,10
NKE,7
NOC,1
NOV,15
NSC,10
NTAP,21
NTRS,11
NUE,19
NVDA,20
NWL,29
NWSA,22
NYT,22
OI,28
OKE,18
OMC,5
ORCL,21
ORLY,3
OXY,17
PAYX,5
PBI,32
PCAR,19
PCG,10
PEG,1
PEP,30
PFE,13
PFG,8
PG,26
PGR,8
PH,23
PHM,2
PLD,2
PM,1
PNC,11
PNW,10
PPG,28
PPL,10
PRU,8
PSA,2
PWR,15
QCOM,20
RF,12
RHI,5
RL,7
ROK,1
ROP,23
ROST,6
RRC,18
RSG,16
RTX,24
SAIC,32
SBUX,30
SCHW,1
SHW,29
SJM,30
SLB,0
SLM,22
SNA,19
SNDK,20
SO,10
SPG,2
SRE,10
STT,11
STZ,30
SUN,17
SWK,19
SYK,14
SYY,1
T,31
TAP,30
TDAY,32
TDC,21
TER,12
TFC,11
TGT,6
THC,9
TJX,6
TMO,14
TPR,7
TROW,8
TRV,8
TSN,30
TXN,20
TXT,24
UNH,9
UNM,8
UNP,0
UPS,1
URBN,7
USB,11
V,25
VAL,15
VFC,7
VLO,17
VMC,16
VNO,2
VRSN,21
VTR,2
VZ,0
WAT,23
WDC,20
WEC,10
WFC,12
WH,25
WHR,26
WM,16
WMB,18
WMT,4
WU,25
WY,27
WYNN,2
XEL,10
XOM,17
XRAY,14
XRX,32
YUM,30
ZBH,27
ZION,12
